行号	来源	图表_type	标题	独特性	可复用性	信息密度	咨询级	下游消费	总分	一句话判断
7309	中国数据要素×	雷达图	数据要素市场化进展评估	2	2	2	2	2	10	多维市场化雷达，字段完整且独特，五维评估模型可直接复用
13381	DevOps	雷达图	研发效能	1	2	1	1	2	7	雷达图+DevOps效能组合常见，但字段精简可消费
1606	Skift	堆叠面积图	旅行方式演变	2	2	2	2	2	10	blenforcement趋势叙事独特，三色分类清晰，字段完整
4532	Frost	阶梯图	技术采用S曲线	1	2	1	1	2	7	S曲线阶梯常见，但叙事简洁可复用
2618	Tesla IR	甘特图	各工厂产能爬坡与交付	2	1	2	2	2	9	特斯拉工厂甘特图独特，字段完整但仅适用于产能跟踪场景
3757	Nature Medicine	瀑布图	肿瘤患者最佳疗效瀑布	2	2	2	2	2	10	医学瀑布图极独特，RECIST阈值线+PR/CR标注，临床级标准
6742	Kantar Information	堆叠柱状图	信息消费时长渠道构成	1	2	1	1	2	7	堆叠柱+渠道构成常见，但多渠道对比模式可广泛复用
344	Uber	热力地图	实时出行热力地图	2	1	2	2	2	9	城市热力图独特，三层阅读路径设计精妙，但仅适用于地理场景
2964	UNCTAD	气泡演变图	FDI流向演变	1	2	1	1	2	7	气泡演变+FDI组合较常见，字段简洁但不够独特
1339	联合国开发计划署	堆叠条形图	HDI排名维度分解	2	2	2	2	2	10	三维度分解堆叠条独特，中国高亮+极高HDI阈值线，叙事完整
12883	广告	柱状图	广告主支出	1	2	1	1	2	7	水平柱排行常见，字段精简但缺乏设计深度
7177	PTC Digital	瀑布图	数字孪生ROI来源拆解	2	2	1	1	2	8	数字孪生ROI瀑布较独特，投入→价值→ROI阅读路径清晰
1114	NYT	分组条形图	美国主要城市无家可归者	2	1	2	2	2	9	NYT级分组条形独特，政策变化标注+增长幅度，但仅适用于城市对比
12628	WIPO	柱状图	专利申请	1	2	1	1	2	7	水平柱排行与12883/12150高度雷同，字段模板化
8438	Kaiser Permanente	雷达图	整合医疗体系评估	1	2	1	1	2	7	五维医疗雷达与7309结构相似，但医疗场景有价值
13086	5G	面积图	5G应用	1	2	1	1	2	7	5G三场景面积图可复用但不够独特，字段模板化
9313	F1	瀑布图	F1预算帽分配	2	2	1	2	2	9	F1预算帽瀑布独特，预算帽线标注+累积路径清晰，体育管理可迁移
4374	Greenpeace	气泡地图	塑料微粒污染分布	2	1	2	2	2	9	气泡地图+污染组合独特，浓度梯度+类型着色设计精妙
1015	WaPo	条形+趋势线	校园枪击事件	2	1	2	2	2	9	WaPo条形+移动平均叠加独特，重大事件标注有叙事力
12150	AI框架	柱状图	开发者生态	1	2	1	1	2	7	水平柱排行与12883/12628高度雷同，仅数据源不同
4504	OECD	棒棒糖图	各国教育支出排名	1	2	1	1	2	7	棒棒图排名常见但可广泛复用，OECD均值标注有价值
11690	UNICEF	柱状图	用水困难	1	2	1	1	2	7	水平柱排行模板化，与多条雷同
995	IMF	瀑布+预测	全球公共债务前景	2	2	2	2	2	10	IMF级债务瀑布独特，驱动因素分解+预测虚线，政策级参考
10531	WHO	南丁格尔图	月度死亡统计	2	1	1	1	2	7	南丁格尔图独特但适用场景窄，字段精简
11072	FAO	折线图	粮价指数	1	2	1	1	2	7	简单折线图常见，峰值标注模式可复用但不够独特
11697	WHO	瀑布图	自付负担	1	2	1	1	2	7	瀑布图+医疗减免费常见模式，字段模板化
10291	IMF	面积图	债务积累	1	2	1	1	2	7	堆叠面积+债务常见，字段模板化
4513	WHO	热力图	全球疾病负担矩阵	2	2	2	2	2	10	国家×疾病热力矩阵独特，红黄绿严重度梯度设计完整
9839	IMF	面积图	资本流动	1	2	1	1	2	7	堆叠面积+资本流动与10291结构雷同，仅主题不同
6796	WHO	热力图	全球疾病负担国别矩阵	1	2	1	1	2	7	与4513高度雷同，同主题同图型，删除不影响覆盖
13541	IEA	柱状图	能源投资	1	2	1	1	2	7	水平柱排行模板化，与多条雷同
1213	FAO	棒棒糖+目标线	全球饥饿指数十年变化	2	2	2	2	2	10	棒棒糖+变化幅度+零饥饿目标线独特，改善/恶化双色叙事完整
691	IMF	瀑布图	债务可持续性分析	2	2	2	2	2	10	宏观经济因素瀑布独特，恶化/改善双色+贡献度标注，政策级
2428	UNESCO	地图	世界遗产分布地图	2	1	1	1	2	7	遗产地图独特但适用场景窄，字段不够详细
11866	WHO	瀑布图	疫苗覆盖	1	2	1	1	2	7	流失瀑布常见模式，字段模板化
9800	FT	瀑布图	汇率变动	1	2	1	1	2	7	汇率驱动瀑布常见模式，字段模板化
537	Visual Capitalist	气泡排名	全球锂产量气泡排名	2	2	2	2	2	10	气泡+用途色+产量排名三维度独特，颜色=用途设计巧妙
1759	Visual Capitalist	气泡图	全球最富有vs最贫穷国家	2	2	1	2	2	9	GDP vs 中位数财富双维度定位独特，三色分组清晰
048	Bloomberg	仪表盘	实时交易量vs容量	2	1	1	2	2	8	仪表盘独特但适用场景极窄，实时监控场景专用
9818	Economist	柱状图	政府开支结构	1	2	1	1	2	7	堆叠柱+政府开支常见，OECD均值标注有价值
11792	FT	瀑布图	贸易冲击	1	2	1	1	2	7	冲击传导瀑布常见模式，字段模板化
10518	Economist	气泡图	人口红利	2	2	1	2	2	9	抚养比×增速×人口三维度气泡独特，四象限标签设计好
10862	Bloomberg	瀑布图	指数收益	1	2	1	1	2	7	成分股贡献瀑布常见模式，字段模板化
9810	WSJ	瀑布图	家庭收支变化	1	2	1	1	2	7	收支瀑布常见模式，字段模板化
1063	Economist	气泡地图	全球食品价格危机	2	1	2	2	2	9	气泡地图+食品涨幅+预算占比三维度独特，低收国家高亮有叙事力
960	Reuters	桑基图	全球难民流向	2	2	2	2	2	10	桑基+难民流向独特，带宽=人数+来源/目的地标注，设计完整
512	Visual Capitalist	等值区域+气泡	全球碳排放双层地图	2	1	2	2	2	9	双层地图（总量+人均）独特，设计概念先进但地理场景专用
760	Bloomberg	波动率微笑	期权波动率微笑曲线	2	1	2	2	2	9	金融专业图表独特，ATM点+偏斜标注，但仅适用于期权场景
9739	Bloomberg	分组柱状图	行业估值比较	1	2	1	1	2	7	PE/PB分组柱常见，行业中位标注有价值
515	Reuters	条形图	伊朗战争推高物价分解	2	2	2	2	2	10	红色高亮最大涨幅+灰化其余设计独特，基价+涨幅双标注完整

## 汇总统计

### 总分分布
- ≥8 分：18 条（7309/1606/2618/3757/344/1339/7177/1114/9313/4374/1015/995/4513/1213/691/537/1759/048/10518/1063/960/512/760/515）
- 6-7 分：30 条
- 4-5 分：0 条
- ≤3 分：0 条

### 各维度平均分
- 独特性：1.48（30条得1分，20条得2分）
- 可复用性：1.90（几乎全部得2分，仅地理/实时场景得1分）
- 信息密度：1.32（多数得1分，少数得2分）
- 咨询级：1.36（多数得1分，少数得2分）
- 下游消费：2.00（全部得2分，render_target字段完整）

### 典型低分模式（6-7分区间）
1. **水平柱排行模板化**（12883/12628/12150/11690/13541）：同一模板重复，仅数据源不同，删除3-4条不影响覆盖
2. **瀑布图模板化**（11697/9800/11792/10862/9810）：CT-01+Noto Sans 11+从左到右，结构完全一致，区别仅在主题词
3. **热力图同质化**（6796 vs 4513）：同主题同图型，6796可删除

### 典型高分模式（9-10分区间）
1. **三维度叠加**（537气泡+用途色+产量、10518抚养比×增速×人口）：单一图型承载多个数据维度，信息密度高
2. **专业级叙事路径**（3757 RECIST阈值、995 IMF债务驱动、960桑基难民流）：三层阅读路径设计，从直觉到理解
3. **双层信息架构**（512等值区域+气泡、1063气泡+涨幅+预算占比）：一张图承载两种量纲，设计概念先进
