6288	Nature	折线图	微生物组代谢物-炎症因子联动动态	肠道微生物代谢物与系统性炎症因子的联动	Teal,Sky,Stone	White	双轴折线	高亮代谢物-炎症共变化	标注相关代谢物和因子	趋势+01	Roboto 7/5	左→右时间+双轴联动	微生物组,代谢物,炎症,联动	nature-figure
6353	Nature	气泡图	多组学生物标志物 panel 跨队列验证	标志物 panel 在多个独立队列的验证结果气泡	Teal,Sky,Stone	White	矩阵气泡	高亮跨队列一致的标志物	标注各队列 HR 和 p 值	网格+01	Roboto 7/5	矩阵扫描跨队列一致性	多组学,标志物,panel,验证	nature-figure
5955	Nature	雷达图	数字疗法临床证据强度评估	证据等级/样本量/对照设计/随访/复现评估	Teal,Stone,Warm	White	5轴雷达	突出证据薄弱环节	标注各项证据等级	单中心-01	Roboto 7/5	中心→外围逐轴	数字疗法,证据,评估,雷达	nature-figure
6301	Nature	柱状图	体内基因编辑大动物模型剂量探索	不同编辑剂量在大动物中的效率和安全性探索	Teal,Sky,Stone	White	分组柱	高亮最佳治疗剂量窗口	标注编辑效率和毒性指标	并列比较+01	Roboto 7/5	按剂量分组对比	基因编辑,大动物,剂量,探索	nature-figure
885	nature-figure	热图+通路富集	nature-figure —《差异基因通路富集：气泡图》	气泡图展示显著富集的 GO/KEGG 通路，大小=基因数，颜色=p 值	#DE2D26 #FFB81C #666666	#FFFFFF	circle	更显著用更深红色	气泡内标通路名和基因数	气泡纵向排列	Helvetica 7/6	第一眼→最显著通路 → 第二眼→基因覆盖 → 最终理解→功能富集	气泡图 通路富集 GO	nature-figure
5919	Nature	柱状图	空间多组学技术分辨率对比	各空间组学技术的空间分辨率和通量	Teal,Sky,Stone	White	分组柱	高亮分辨率最高技术	标注分辨率和基因数	并列比较+01	Roboto 7/5	按维度分组逐技术对比	空间组学,分辨率,通量,对比	nature-figure
6309	Nature	柱状图	体内 mRNA 治疗 LNP 免疫逃避策略	不同 LNP 修饰策略对先天免疫逃避的效果	Teal,Sky,Stone	White	分组柱	高亮免疫逃避最优策略	标注免疫指标和蛋白表达	并列比较+01	Roboto 7/5	按免疫指标分组对比	mRNA,LNP,免疫逃避,策略	nature-figure
5900	Nature	小提琴图	单细胞 CRISPR 筛选扰动效应分布	各基因扰动后表型读数的分布变化	Teal,Coral,Stone	White	小提琴+散点	高亮效应最强的扰动	标注效应大小和 p 值	并列比较+01	Roboto 7/5	左→右逐扰动对比	CRISPR,筛选,扰动,单细胞	nature-figure
6228	Nature	小提琴图	空间转录组肿瘤微环境代谢梯度	代谢相关基因在肿瘤空间的表达梯度分布	Teal,Sky,Stone	White	小提琴+空间梯度	高亮代谢梯度最陡基因	标注梯度和表达水平	并列比较+01	Roboto 7/5	按空间位置对比	空间转录组,代谢,梯度,肿瘤	nature-figure
6345	Nature	气泡图	单细胞 CRISPR 筛选药物靶点发现	CRISPR 筛选发现的药物靶点在各通路的富集	Teal,Sky,Stone	White	矩阵气泡	高亮关键药物靶点	标注靶点评分和可药性	网格+01	Roboto 7/5	矩阵扫描关键靶点	单细胞,CRISPR,靶点发现,药物	nature-figure
