行号	来源	图表类型	标题	独特性	可复用性	信息密度	咨询级	下游消费	总分	1句话判断
1	Nature Ecology	点图	物种数量随栖息地类型分布	2	2	2	2	1	9	点图+中位数排序+异常值，Nature学术风格，设计指导充分
2	国企	柱状图	国企利润	0	2	1	1	2	6	CT-01水平柱降序标准模板，与多条高度雷同
3	文化	柱状图	文化输出	0	2	1	1	2	6	同CT-01水平柱模式，仅source和配色不同
4	Altmetric	论文社会影响力散点图	论文学术引用vs社会媒体关注	2	2	2	2	1	9	气泡散点+象限影响力类型，独特叙事组合
5	浙江数据局	折线图	浙江政务服务网活跃度	1	1	1	1	2	6	政务主题折线，叙事较泛，蓝紫渐变无特殊指导
6	Red Hat	堆叠条	混合云采用动机分解	1	2	1	1	2	7	堆叠条分解动机，模式可迁移但设计指导偏薄
7	HR	热力图	员工满意度热力	1	2	1	1	2	7	部门x维度矩阵热力，可复用高但annotation偏泛
8	GSMA Intel	折线图	5G渗透率趋势	1	2	1	1	1	6	渗透率折线+拐点标注，常见趋势图模式
9	人形机器人	柱状图	企业布局	0	2	1	1	2	6	CT-01水平柱降序，与多条雷同
10	地热	折线图	地热供暖	0	1	1	1	2	5	标准折线时间轴+拐点，无独特设计价值
11	VisualCap	树图	全球财富	1	2	1	1	2	7	树图较罕见，但本条内只有一条树图，设计指导偏薄
12	SOC2	安全控制评估	SOC2合规性	2	1	1	1	1	6	Harvey Ball独特图表类型，但可复用面窄
13	统计	雷达图	发展质量	1	2	1	1	2	7	六维雷达+短板标注，标准雷达模式
14	Clarksons	折线图	新船订单	0	1	1	1	2	5	标准折线时间轴，与地热供暖高度雷同
15	Staking	质押收益分析	PoS收益评估	1	2	1	1	1	6	气泡散点+收益风险，有一定独特性但信息密度一般
16	自动驾驶	柱状图	无人出租	0	2	1	1	2	6	CT-01水平柱降序，与多条雷同
17	HR	气泡图	薪酬vs绩效九宫格	2	2	2	2	2	10	九宫格气泡+任职年限，设计指导完整且独特
18	生物制造	瀑布图	发酵效率	1	2	1	1	2	7	瀑布图效率提升，模式可迁移
19	MarTech	柱状图	营销渠道ROI	0	2	1	1	2	6	CT-01水平柱降序，与多条雷同
20	Tourism	气泡图	旅游消费力分布	1	2	1	1	2	7	气泡+四象限，标准模式但场景可迁移
21	数字美元	雷达图	CBDC方案对比评估	1	2	1	1	1	6	五边形雷达+方案评级，设计指导偏薄
22	信通院	柱状图	数字经济规模	0	2	1	1	2	6	CT-01水平柱降序，与多条雷同
23	Airbyte	瀑布图	数据集成成本拆解	1	2	1	1	1	6	瀑布图+品牌配色，有一定独特性
24	数字营销	面积图	流量来源	0	1	1	1	2	5	标准堆叠面积时间轴，与地热折线高度雷同
25	Restaurant	饼图	餐厅成本结构	0	2	1	1	2	6	标准饼图+行业均值标注，常见模式
26	第一财经	折线图	宏观经济指标月度趋势	1	2	2	1	1	7	红系配色+基准线+解读标注，信息密度较好
27	Rockefeller Fdn	漏斗	影响力投资筛选路径	2	2	1	1	1	7	漏斗图+筛选标准，图表类型独特
28	Salesforce	客户留存桑基	客户留存流向桑基图	2	2	2	2	1	9	桑基图唯一一条，流向+转化+配色语义清晰
29	重庆市统计局	制造业转型升级路径图	传统制造到智能制造转型路径	1	1	1	1	1	5	SVG flow路径图，设计指导不够具体
30	Nature MI	雷达图	AI医疗影像算法评估	1	2	2	2	2	9	Nature级别+人医对比+五维评估，设计指导充分
31	微服务	柱状图	服务拆分	0	2	1	1	2	6	CT-01水平柱降序，与多条雷同
32	Datawrapper	堆叠柱状图	欧洲各国能源来源结构对比	2	2	2	2	1	9	紫灰棕绿能源语义配色+跨国并列，设计指导充分
33	EIU	雷达图	民主维度	1	2	1	1	2	7	五维雷达+短板标注，标准雷达模式
34	Public Sector	瀑布图	财政收支变化驱动	1	2	1	1	2	7	瀑布图收支拆解，模式可迁移到任何财务场景
35	数字孪生	瀑布图	降本增效	0	2	1	1	2	6	瀑布图+改善因素，与财政收支瀑布高度雷同
36	Global Forest Watch	毁林警报热力日历	卫星监测毁林事件日度热力	2	2	2	2	1	9	日历热力图唯一一条，信息密度高+政策事件标注
37	GDP	柱状图	人均GDP	0	2	1	1	2	6	CT-01水平柱降序，与多条雷同
38	EdSurge	气泡图	学习效果	1	2	1	1	2	7	气泡四象限+成绩/参与/留存三维，标准模式
39	彭博	candlestick图	美股K线走势	2	1	2	2	2	9	K线图唯一一条，金融专业图表+OHLC指导完整
40	THE	研究影响力评估	大学研究产出	1	2	1	1	1	6	散点+四分线，有一定独特性但annotation偏薄
41	BCG Strategy	时间线路线图	企业五年战略规划	2	2	2	2	1	9	BCG级路线图+阶段色块+里程碑+价值曲线，设计指导极充分
42	TomTom Traffic	柱状图	城市交通排名对比	1	2	1	1	1	6	横向条+拥堵排名，品牌配色有一定特色
43	JohnDeere	精准农业热力	农田产量差异	2	2	2	2	2	10	农业热力+奶油底+差异原因标注，场景独特且设计指导完整
44	Refinitiv	气泡图	新兴市场债	1	2	1	1	2	7	气泡四象限+风险标注，标准模式
45	预期寿命	柱状图	各省寿命	0	2	1	1	2	6	CT-01水平柱降序，与多条雷同
46	Box Office Mojo	柱状图	全球票房Top10分区域对比	1	2	2	1	2	8	并列柱+中国票房红色标注，信息密度较好
47	National Geographic	分层流向地图	帝王蝶迁徙路径	2	1	2	2	1	8	Malofiej金奖级+温度带+威胁区叠加，但地图类可复用面窄
48	顺丰科技	物流时效箱线图	各线路配送时效分布	2	2	2	2	1	9	箱线图唯一一条+异常值标注+统计分布，设计指导充分
49	UNDP	雷达图	人类发展指数评估	1	2	1	1	2	7	五维雷达+提升空间标注，标准雷达模式
50	私募	气泡图	投资回报	0	2	1	1	2	6	气泡四象限标准模式，与EdSurge/Refinitiv高度雷同
