id	source	chart_type	title	narrative_intent	color_palette	bg	shape	highlight	annotation	composition	typography	reading_path	keywords
001	McKinsey	堆叠面积+瀑布	行业利润池从制造端向服务端转移	利润来源结构性变化	#001A3A #003366 #0066FF #8B95A2	#FFFFFF	rect	#0066FF 饱和，其余灰	拐点写原因	06 非对称平衡	Helvetica Neue 14/10	标题→趋势→颜色转移→关键发现	麦肯锡 利润池 战略 深蓝
002	McKinsey	水平条形图	5家供应商SLA差异最高与最低相差18个百分点	表现分层为清退提供依据	#0066FF #999999 #E74C3C	#FFFFFF	rect	Coral最低一家	最低值写行动建议	01 单中心聚焦	Arial 16/11/12	标题→排序条形→达标线→尾部	麦肯锡 供应商 排序 达标线
003	Bain	瀑布图	EBITDA同比增长15M volume贡献+18M	变化拆解为驱动因素	#009933 #CC0000 #003366	#FFFFFF	rect	最大正贡献饱和绿	柱子顶部标原因	10 瀑布流	Helvetica 14/10	标题→起点→绿色增量→终点	贝恩 瀑布 桥接 正负双色
004	BCG	2x2气泡矩阵	3个明星业务支撑增长2个瘦狗需退出	用经典框架形成业务组合共识	#1E88E5 #43A047 #FFB300 #E53935	#FAFAFA	circle	明星象限饱和深蓝	气泡内写简称+增长率	01 单中心聚焦	Helvetica Neue 12/10	标题→四象限→气泡大小→明星	BCG 矩阵 气泡 战略框架
005	FT	多系列面积图	全球实际利率处于四十年最低水平	历史位置感知	#004B87 rgba(0,75,135,0.3) #E31200	#FFF1E5	area	"现在"位置红线	两侧标历史事件	12 全幅沉浸	FT Miller/Metric 11	背景识别→标题→走势→红线	FT 鲑鱼粉 利率 历史对比
006	NYT Upshot	柱状图+历史对比线	新冠死亡人数已超过二战总死亡人数	用历史参照制造情感冲击	#3668BB #E3120B rgba(54,104,187,0.2)	#FFFFFF	rect	红色"现在"线	顶部标历史对比	12 全幅沉浸	Helvetica 18/12	标题→柱子→红线→对比	NYT 死亡 历史参照 情感冲击
007	Economist	分组柱状图	选举数据：年轻选民转向第三政党	选民结构变化趋势	#E3120B #0055A5 #000000	#FFFFFF	rect	关键年龄组红色	底部写趋势描述	02 左右对比	Times New Roman 14/11	标题→分组→红色组→趋势	Economist 选举 红白黑 分组对比
008	Bloomberg	折线图+预测区间	实时股价跌破200日均线触发卖出信号	交易信号+不确定性	#00E676 #FF1744 #58A6FF	#0D1117	line	当前价荧光绿	均线位置标信号	11 紧凑仪表板	Mono 14/12	标题→折线→信号→区间	Bloomberg 深色 实时 荧光色
009	FiveThirtyEight	概率密度图	候选人胜率从35%飙升到68%	概率叙事不确定性表达	#E74C3C #3498DB rgba(52,152,219,0.2)	#FFFFFF	area	当前胜率饱和色	中位数标注	12 全幅沉浸	Helvetica 18/12	标题→密度→峰值→标注	FiveThirtyEight 概率 不确定性 选举
010	OWID	气泡演变图	全球预期寿命与GDP五十年演变	全球发展教育	#3B82F6 #EF4444 #F59E0B #10B981	#FFFFFF	circle	最新年份饱和色	国家名+增长率	01 单中心聚焦	Inter 16/12	标题→气泡→轨迹→最新	Gapminder 气泡演变 全球发展
011	Material Design	环形图	用户设备分布移动端占62%	整体+占比感知	#1A73E8 #34A853 #FBBC04 #EA4335	#FFFFFF	donut	移动端62%饱和蓝	中心放总数值	07 径向中心	Roboto 16/14	标题→环形→中心数字→占比	Material 环形 占比 设备
012	IBM Carbon	堆叠条形图	企业云迁移进度分阶段	分阶段构成变化	#0F62FE #4589FF #00C389 #9F18FF	#FFFFFF	rect	最新阶段饱和色	阶段名+百分比	03 上下分层	IBM Plex Sans 14/12	标题→堆叠→阶段构成→趋势	IBM 堆叠 云迁移 企业级
013	Stripe	子弹图	月度MRR目标完成率78%	目标差距	#635BFF #00D924 #FF394B	#0A2540	bar	完成率饱和绿	目标线标数字	08 主次嵌套	Inter 14/12	标题→子弹→完成率→缺口	Stripe 子弹图 MRR 深色
014	Airbnb	地图+散点	房东分布：东海岸密度最高	地理空间感知	#FF5A5F #00A699 #FC642D	#FFFFFF	circle	高密度区珊瑚红	密度标城市名	11 地图+插图	Inter Circular 16/14	标题→地图→热点→城市名	Airbnb 地图 散点 地理
015	Tufte	极简表格	枪支死亡率与拥枪率相关性	零装饰纯数据	#2C3E50 #E74C3C	#FFFFFF	rect	异常值红色	脚注标数据来源	04 小多图	Garamond 12/10	标题→数据分布→异常值→脚注	Tufte 表格 极简 学术
016	Nightingale	极坐标面积图	季节性死亡原因月度分布	周期+构成	#6BAED6 #FC9272 #252525	#F5F0E8	area	可预防蓝色可预防死亡红色	扇区内标原因	07 径向中心	Serif 12/10	标题→扇区→蓝色→对比	Nightingale 玫瑰图 周期 历史
017	The Pudding	小倍数条形图	100种职业最常见的名字	文化数据多样性	#FF6B6B #4ECDC4 #45B7D1 #96CEB4	#FFFFFF	rect	每种Top1饱和色	职业名+名字	04 小 multiples	Inter 14/12	标题→网格→颜色→名字	Pudding 小倍数 文化 多彩
018	Excalidraw	手绘漏斗图	客户从接触到签约转化5%	脑暴讨论	#2C3E50 #FFE0B2 #C8E6C9 #BBDEFB	#F5F0E8	rect	瓶颈环节橙色	手写标注原因	09 手绘草图	Virgil 手写	标题→漏斗→瓶颈→手写	Excalidraw 手绘 漏斗 草图
019	Alberto Cairo	散点图+回归线	教育投入与收入正相关R²=0.72	学术证据	#34495E #5D7A8C #E74C3C	#FFFFFF	circle	回归线红色	标注R²和样本量	01 单中心聚焦	Serif 14/11	标题→散点→回归线→R²	Cairo 散点 回归 学术
020	Gartner	魔力象限	供应商位置分布领导者2家挑战者3家	市场定位	#43A047 #1E88E5 #FFB300 #E53935	#FAFAFA	circle	领导者饱和绿	气泡内公司名	03 上下分层	Helvetica 14/11	标题→象限→领导者→趋势	Gartner 魔力象限 定位 气泡
021	McKinsey	雷达图	供应商综合能力六维画像	多维能力对比	#0066FF #8B95A2	#FFFFFF	polygon	领先维度饱和蓝	顶点标得分	01 单中心聚焦	Helvetica Neue 14/10	标题→雷达→领先维度→得分	麦肯锡 雷达 多维 供应商
022	McKinsey	热力图	月度活跃度按地区分布	密度+对比	#001A3A #003366 #0066FF #8B95A2 #C4CDD5	#FFFFFF	rect	高活跃深蓝	右上角标峰值	09 热力图	Helvetica 14/10	标题→色块→深色区域→峰值	麦肯锡 热力图 密度 月度
023	Bain	子弹图+目标线	季度收入完成率112%	目标超达成	#009933 #003366 #CC0000	#FFFFFF	bar	超目标部分饱和绿	目标线标100%	01 单中心聚焦	Helvetica 14/10	标题→子弹→超目标→数字	贝恩 子弹图 目标 超额
024	BCG	时间线	战略转型关键节点2019-2024	里程碑叙事	#0A1B3B #1E88E5 #43A047	#FFFFFF	rect	关键节点绿色	节点标事件名	08 时间轴	Helvetica 14/11	标题→时间轴→关键节点→终点	BCG 时间线 里程碑 战略
025	FT	蝴蝶图	脱欧前后贸易对比	两组直观对比	#004B87 #D45400	#FFF1E5	rect	左侧蓝右侧橙	中间标差异%	02 左右对比	FT Metric 12/10	标题→左侧→右侧→差异	FT 蝴蝶图 对比 双边
026	NYT	桑基图	选民从2020到2024的党派流动	转化+流向	#3668BB #E3120B #8BB0E0	#FFFFFF	flow	最大流饱和蓝	流上标百分比	01 单中心聚焦	Helvetica 14/11	标题→桑基→最大流→变化	NYT 桑基 流动 党派
027	Economist	阶梯图	碳排放在2030年前达峰路径	目标路径	#E3120B #0055A5 #000000	#FFFFFF	line	目标路径红色	阶梯标年份	10 阶梯	Helvetica 14/10	标题→阶梯→目标→路径	Economist 阶梯图 碳排放 目标
028	Bloomberg	蜡烛图+成交量	股价突破阻力位放量	交易信号	#00E676 #FF1744 #58A6FF #30363D	#0D1117	rect	突破日荧光绿	阻力位水平线	11 紧凑仪表板	Mono 14/12	标题→蜡烛→突破→成交量	Bloomberg K线 突破 放量
029	FiveThirtyEight	堆叠面积图	民调支持率变化趋势	趋势+构成	#E74C3C #3498DB #F39C12	#FFFFFF	area	领先者饱和色	拐点标事件	12 全幅沉浸	Helvetica 18/12	标题→堆叠→领先者→拐点	FiveThirtyEight 堆叠 民调 趋势
030	OWID	平行坐标图	各国发展指标多维对比	多维对比	#1B9E77 #D95F02 #7570B3 #E7298A	#FFFFFF	line	高收入国家饱和色	轴标指标名	01 单中心聚焦	Inter 12/10	标题→平行线→聚类→异常	OWID 平行坐标 多维 全球
031	Material	进度条组	五项OKR完成进度	进度总览	#1A73E8 #34A853 #FBBC04 #EA4335	#FFFFFF	bar	完成度颜色区分	进度标百分比	11 紧凑仪表板	Roboto 14/12	标题→进度条→完成项→缺口	Material 进度条 OKR 总览
032	IBM Carbon	面积图	API调用量月度趋势	趋势+累积	#0F62FE #4589FF rgba(15,98,254,0.2)	#FFFFFF	area	最新月饱和蓝	峰值标事件名	01 单中心聚焦	IBM Plex Sans 14/12	标题→面积→趋势→峰值	IBM 面积图 趋势 API
033	Stripe	分组柱状图	ARR按产品线拆分	分项对比	#635BFF #00D924 #FF394B #FFB039	#0A2540	rect	最大项紫色	柱顶标金额	03 上下分层	Inter 14/12	标题→分组→最大项→对比	Stripe 分组柱 ARR 深色
034	Airbnb	散点地图	房源价格与评分关系	相关性+地理	#FF5A5F #00A699 #FC642D	#FFFFFF	circle	高评分高价格饱和色	异常点标注	01 单中心聚焦	Inter Circular 14/12	标题→散点→趋势→异常	Airbnb 散点 价格 评分
035	Tufte	箱线图	各州测试成绩分布+异常值	统计分布	#2C3E50 #AEB6BF #E74C3C	#FFFFFF	rect	异常值红色	中位数标注	04 小 multiples	Garamond 12/10	标题→箱体→中位数→异常	Tufte 箱线图 分布 统计
036	Nightingale	雷达图	军队各兵种死亡率对比	多维对比	#6BAED6 #FC9272 #252525	#F5F0E8	polygon	陆军饱和红	顶点标兵种名	07 径向中心	Serif 12/10	标题→雷达→陆军→对比	Nightingale 雷达 军事 对比
037	The Pudding	棒棒糖图	电影票房Top50	排行+精确	#FF6B6B #4ECDC4 #45B7D1	#FFFFFF	line	Top3高饱和	电影名+金额	01 单中心聚焦	Inter 14/12	标题→Top3→排名→尾部	Pudding 棒棒糖 排行 电影
038	Excalidraw	手绘思维导图	产品功能脑暴	关联发散	#2C3E50 #FFE0B2 #C8E6C9 #BBDEFB #F8BBD0	#F5F0E8	branch	核心功能橙色	手写关键词	07 径向中心	Virgil 手写	标题→中心→分支→细节	Excalidraw 思维导图 脑暴 手绘
039	Alberto Cairo	时间线+事件	疫情时间线关键决策点	事件序列	#34495E #2980B9 #E74C3C	#FFFFFF	rect	关键事件红色	事件标日期	08 时间轴	Serif 14/11	标题→时间轴→红点→事件	Cairo 时间线 事件 疫情
040	Gartner	堆叠柱状图	IT支出按类别年度变化	构成+趋势	#43A047 #1E88E5 #FFB300 #E53935	#FAFAFA	rect	最大类别饱和色	年度标总额	03 上下分层	Helvetica 14/11	标题→堆叠→最大类→趋势	Gartner 堆叠柱 IT支出 趋势
041	McKinsey	漏斗图	客户转化五步从10000到500	转化衰减瓶颈	#001A3A #003366 #0066FF #CC0000	#FFFFFF	rect	瓶颈环节红色	瓶颈标流失率	01 单中心聚焦	Helvetica Neue 14/10	标题→漏斗→瓶颈→标注	麦肯锡 漏斗 转化 瓶颈
042	McKinsey	散点+象限	供应商绩效vs成本四象限	两维度定位	#0066FF #43A047 #FFB300 #E53935	#FFFFFF	circle	右下象限红色	象限标名称	03 上下分层	Helvetica Neue 14/10	标题→四象限→红色→行动	麦肯锡 散点 四象限 绩效
043	Bain	趋势+拐点	客户流失率拐点分析	带注释的时间序列	#009933 #CC0000 #003366	#FFFFFF	line	拐点红色圆点	拐点标原因	01 单中心聚焦	Helvetica 14/10	标题→趋势→拐点→原因	贝恩 趋势 拐点 时间序列
044	BCG	气泡演变图	市场份额三年演变	竞争格局变化	#1E88E5 #43A047 #FFB300 #E53935	#FAFAFA	circle	最新年份饱和色	气泡内公司名+份额	01 单中心聚焦	Helvetica Neue 12/10	标题→气泡→演变→最新	BCG 气泡演变 市场份额 竞争
