1	Bain	河流图	客户生命周期	1	2	1	1	2	7	河流图+生命周期组合有一定价值但Bain客户生命叙事模式较常见，字段偏模板化
2	KPMG	瀑布图	利润变化	1	2	1	1	2	7	经典瀑布利润桥接，咨询常用但信息密度一般，annotation/composition 填充感强
3	IDC	气泡图	IoT平台	1	1	1	1	2	6	气泡四象限模式常见，IoT主题窄但模式可迁移，字段信息量偏少
4	Forrester	气泡图	B2B数字体验	1	1	1	1	2	6	与#3高度同构（气泡+四象限+领先标注），仅主题不同，独特性低
5	Forrester	漏斗图	企业软件采购转化漏斗	2	2	1	1	1	7	漏斗图+B2B转化组合独特，可复用性高，但字段格式不统一（非标准composition/typography）
6	BCG Growth-Share	气泡图	BCG增长-份额矩阵	2	2	2	2	2	10	经典BCG矩阵，字段完整且每个都有实质设计指导，直接可消费
7	GoogleScholar	h指数演变	学者影响力追踪	2	1	1	1	1	6	h指数+面积图组合独特但学术场景窄，字段格式非标准，下游需补充
8	城市设计	柱状图	绿化率	0	1	0	0	2	3	纯模板条：horizontal bar+降序+TOP标注，与#14/#17/#24/#27/#30/#32高度雷同
9	IFPRI	热力地图	全球饥饿指数热力图	2	2	2	2	1	9	热力地图+GHI指数组合独特，色彩叙事清晰，但render_target为nature-figure需注意
10	Nutrition	饼图	每日营养摄入结构	0	2	0	0	2	4	饼图+占比是最基础组合，字段全模板填充，无独特设计指导
11	CFR	蝴蝶图	中美科技竞争	2	2	2	2	1	9	蝴蝶图+对称对比组合独特，蓝红色彩叙事强，信息密度高，但nature-figure非标准下游
12	OpenLayers	矢量地图	多源地理数据叠加	2	1	1	1	1	6	矢量地图叠加场景独特但极窄，字段偏技术描述缺乏设计指导
13	未来产业	柱状图	研发投入	0	1	0	0	2	3	与#8同构：horizontal bar+降序+TOP标注，仅换主题和色板
14	BP	饼图	全球一次能源结构	1	2	1	1	1	6	饼图+能源结构组合比#10略好（有年度变化标注），但仍是基础类型
15	招聘	折线图	求职热度	0	1	0	0	2	3	折线+时间轴+拐点标注纯模板，与#16/#25/#26/#45同构
16	海关	柱状图	进出口额	0	1	0	0	2	3	与#8/#13同构：horizontal bar+降序+TOP标注，模板填充
17	IAEA	柱状图	全球核能发展	1	1	1	1	2	6	竖向条+双栏组合稍有差异，核能主题窄但字段略优于纯模板
18	JD Logistics	柱状图	仓储自动化率vs人工分拣效率	2	2	2	2	2	10	并列对比+自动化ROI叙事完整，字段充实且直接可消费，咨询级参考
19	Flexport Trade	桑基图	中美贸易关税影响路径	2	2	1	2	1	8	桑基图+贸易流组合独特，设计感强，但字段格式非标准需补充
20	CF40	瀑布图	稳增长	0	1	0	0	2	3	与#2同构：瀑布+驱动因素+最大驱动标注，模板填充
21	Nature Climate Adaptation	面积图	气候适应投资缺口趋势	2	1	1	1	1	6	面积图+缺口趋势组合独特，但场景窄，字段非标准格式
22	NASA GISS	全球温度异常热力日历	月度温度异常1880-2024	2	1	2	2	1	8	热力条纹/Warming Stripes是经典可视化，信息密度高，但render_target需确认
23	制造	柱状图	制造业PMI子项	0	1	1	0	2	4	与#8同构但荣枯线标注有微创新，仍偏模板
24	MIT	折线图	AI能力进展	1	1	1	1	2	6	折线+AI进展组合常见，字段偏模板，仅突破标注略有差异
25	汽车金融	折线图	渗透率	0	1	0	0	2	3	与#15同构：折线+时间轴+拐点标注，纯模板
26	人形机器人	柱状图	融资规模	0	1	0	0	2	3	与#8/#13/#16同构：horizontal bar+降序+TOP标注
27	World Bank Open	气泡图	全球国家发展水平三维对比	1	2	1	1	1	6	Gapminder经典模式，可复用性高但独特性一般（已被广泛复制）
28	CreditSuisse	瀑布图	财富变化	0	1	0	0	2	3	与#2/#20同构：瀑布+变动因素+最大变动标注
29	水泥	柱状图	水泥产量	0	1	0	0	2	3	与#8同构：horizontal bar+降序+TOP标注，均值标注微差异
30	Hurun Report	柱状图	全球独角兽城市分布排行	1	2	1	1	2	7	柱状+城市排行有可复用性，字段略优于纯模板（数量+占比双标注）
31	心理	柱状图	睡眠质量	0	1	0	0	2	3	与#8同构：horizontal bar+降序，仅主题不同
32	NYT/Malofiej	点密度地图	美国枪支暴力地图	2	1	2	2	0	7	金奖作品参考价值极高，但字段格式完全非标准，下游无法直接消费
33	Cesium	3D地球	全球数据3D可视化	2	0	1	1	1	5	3D地球场景极独特但几乎不可复用，且ECharts原生不支持3D地球
34	BCG Insurance	堆叠构成	保险产品利润结构	1	2	1	1	1	6	堆叠构成+利润分解组合常见但可复用，字段非标准格式
35	FDA	2x2矩阵	医疗器械风险分类矩阵	2	2	2	2	1	9	2x2矩阵+四象限分类经典组合，字段完整信息密度高，但nature-figure非标准
36	CHS	气泡图	DRG改革	1	1	1	1	2	6	与#3/#4同构：气泡+四象限+领先标注，DRG主题窄
37	GSMA	移动数据流量堆叠面积图	全球移动数据流量按技术代际演变	2	2	1	2	2	9	堆叠面积+代际迁移叙事独特，字段有实质信息，下游可消费
38	Mass Spec	气泡图	蛋白质组学鉴定矩阵	2	0	1	1	1	5	气泡图+质谱场景极窄，几乎无复用场景，信息密度一般
39	Airbnb	旅行偏好变迁	住宿类型偏好演变分组条	2	2	2	2	2	10	分组条+偏好变迁叙事完整，阅读路径设计精巧，字段充实直接可消费
40	DALL-E	热力图	提示词-图像一致性矩阵	2	1	1	1	1	6	热力图+AI生成评估组合独特，但AI研究场景窄，字段非标准
41	Cloud	柱状图	云计算市场份额	1	2	1	1	2	7	柱状+市场份额+增速双标注有复用价值，略优于纯模板
42	Plan International	旭日图	儿童权益保护嵌套	2	1	1	1	1	6	旭日图+分层嵌套组合独特，公益场景窄，字段非标准
43	Tesla	折线图	交付量季度突破	1	1	1	1	1	5	折线+交付量组合常见，字段略优于纯模板（有爆发叙事），但render_target非标准
44	Media Tech	折线图	短视频用户时长	0	1	0	0	2	3	与#15同构：折线+时间轴+最长标注，纯模板
45	PE VC	热力图	赛道景气度矩阵	2	2	1	1	2	8	热力图+景气度矩阵组合独特，投资赛道复用性高，字段基本可消费
46	Streamlit	柱状图	数据应用开发效率	1	1	1	1	2	6	分组柱状+效率对比稍有差异，但场景窄，字段非标准
47	Azure Maia	雷达图	自研AI芯片能力评估	2	1	1	1	1	6	雷达图+芯片五维评估组合独特，但AI芯片场景极窄
48	TNC	面积图	土地保护面积趋势	1	1	1	1	1	5	堆叠面积+保护趋势组合常见，公益场景窄，字段非标准
49	社区	柱状图	社区团购	0	1	0	0	2	3	与#8同构：horizontal bar+降序+TOP标注
50	Telecom	并列比较	5G技术路线对比	2	2	1	1	2	8	并列比较+技术路线对比组合独特，可复用性高，字段基本可消费
