编号,开始时间,提交时间,答题时长_秒,城市,坐席规模,合作时长,月结算金额_万元,结算账期,资金周转困难,月总成本_万元,人力成本占比,场地成本占比,运营成本占比,设备成本占比,人力成本_万元,场地成本_万元,运营成本_万元,设备成本_万元,总毛利率,人力后毛利率,核心毛利率,坐席平均薪资_元,稳定留存薪资_区间,城市最低工资_元,TOP坐席薪资_区间,盈亏平衡点_原始,mob3留存率_区间,薪酬占结算比_区间,是否降薪,运营状态,友商结算单价,友商薪资区间,是否有淡旺季,业务稳定性,盈利问题,京东建议,规模分组,风险等级,数据异常
65246988,2026/3/5 17:18,2026/3/5 17:23,302,鸡西市，晋城市,30人以下,1-2&nbsp;年,6.0,T+60,否，资金周转正常,6.0,60.0,10.0,10.0,20.0,3.6,0.6,0.6,1.2,0.0,40.0,30.0,5000.0,5000-7000,2124,15000以上,目前已在盈亏平衡点附近,40%-50%,60%-70%,是,正常运营，无异常,京东的&nbsp;110%-120%,7000-9000,否,波动较大（10%-30%）,结算口径、数据质量,暂无,小型,极度敏感,False
65247127,2026/3/5 17:20,2026/3/5 17:24,231,石家庄,51-80人,2-3&nbsp;年,38.0,T+45,否，资金周转正常,30.0,80.0,5.0,3.0,6.0,24.0,1.5,0.9,1.8,21.05263158,36.84210526,32.89473684,23.0,5000-7000,2380,11000-15000,目前已在盈亏平衡点附近,51%-60%,70%以上,否,扩张中（招聘坐席/扩大场地）,京东的&nbsp;110%-120%,7000-9000,否,稳定（波动&lt;10%）,"复贷提前还款率较高
质检问题扣罚不合理，未与业务拉通
结算不稳定，导致员工离职率高，新人亏损","1，增加锁期券 利率折扣券 增加营销抓手
2，拉通质检
3，通讯费甲方承担",中型,极度敏感,False
65252173,2026/3/5 17:57,2026/3/5 18:19,1311,苏州、临沂,30-50人,6-12&nbsp;个月,25.8,T+60,是，偶尔需要周转,37.2,82.0,5.9,6.1,2.1,30.504,2.1948,2.2692,0.7812,-44.18604651,-18.23255814,-26.73953488,6044.0,7000-9000,2380,11000-15000,目前已在盈亏平衡点附近,40%以下,70%以上,是,维持现状，观望中,京东的&nbsp;110%-120%,7000-9000,是,波动较大（10%-30%）,"1、结算价格偏低
2、规则变动比较频繁
3、结算周期过长","1、提升结算金额
2、缩短结算周期",中型,极度敏感,False
65257331,2026/3/5 18:54,2026/3/5 18:58,237,南昌,81-100人,6-12&nbsp;个月,48.0,T+90,否，资金周转正常,33.0,54.79,3.51,18.7,1.3,18.0807,1.1583,6.171,0.429,31.25,62.331875,59.91875,5500.0,5000-7000,2240,15000以上,下降&nbsp;5%&nbsp;以内就会亏损,80%以上,50%-60%,否,正常运营，无异常,差不多,5000-7000,否,波动很大（&gt;30%）,业务波动较大,无,大型,中风险,False
65265749,2026/3/5 20:30,2026/3/5 20:54,1439,合肥/宿州,101-200人,1-2&nbsp;年,117.0,T+30,否，资金周转正常,78.0,80.0,3.0,3.0,1.0,62.4,2.34,2.34,0.78,50.0,95.33333333333334,44.66666666666667,6700.0,7000-9000,2320,11000-15000,下降&nbsp;5%-10%&nbsp;会亏损,61%-70%,70%以上,是,正常运营，无异常,差不多,7000-9000,是,波动很大（&gt;30%）,降价影响和计算业绩的规则改变,建议采用CPS模式；因为结算口径的改变，建议提高下定价；,大型,低风险,False
65310375,2026/3/6 14:32,2026/3/6 14:38,378,包头,30-50人,2-3&nbsp;年,20.0,T+60,是，偶尔需要周转,18.0,90.0,1.0,0.6,0.5,16.2,0.18,0.108,0.09,10.0,19.0,18.1,5000.0,5000-7000,2300,11000-15000,目前已在盈亏平衡点附近,40%以下,70%以上,是,正常运营，无异常,差不多,5000-7000,否,波动较大（10%-30%）,结算方式的改变，人员流动大,希望结算政策稳定一点,中型,极度敏感,False
65313371,2026/3/6 15:04,2026/3/6 15:11,416,蚌埠,51-80人,1-2&nbsp;年,36.0,T+45,是，偶尔需要周转,30.3,85.0,3.0,10.0,1.0,25.755,0.909,3.03,0.303,15.83333333,28.45833333,25.93333333,4600.0,5000-7000,2170,9000-11000,目前已在盈亏平衡点附近,40%-50%,70%以上,是,收缩中（缩减坐席/场地）,京东的&nbsp;120%&nbsp;以上,5000-7000,是,波动很大（&gt;30%）,人均结算低，固定成本支出高；业务波动造成的人员流失带来的招聘、培养、维稳等成本加大。,适当提高复贷结算比例,中型,极度敏感,False
65346966,2026/3/6 21:31,2026/3/6 21:34,204,湖北襄阳、河北廊坊、安徽亳州,51-80人,3&nbsp;年以上,44.0,T+45,否，资金周转正常,43.0,116.0,10.0,11.0,1.5,49.88,4.3,4.73,0.645,2.272727273,-13.36363636,-23.13636364,4100.0,5000-7000,2380,9000-11000,目前已在盈亏平衡点附近,51%-60%,70%以上,是,正常运营，无异常,京东的&nbsp;120%&nbsp;以上,5000-7000,否,波动很大（&gt;30%）,1、结算的调整，提前还款规则的调整 2、员工信心的减少、流失率较大 3、权益少，业绩不好产出,1、可以组织走访学习。以季度为单位。向自营和做得好的友商学习 2、结算提高点。提前还款的举措稳单的分享可以多交流下，如果减少客户提前还款比例的专项。,中型,极度敏感,True
65432590,2026/3/9 10:51,2026/3/9 10:54,189,石家庄、中卫,51-80人,3&nbsp;年以上,32.0,T+60,是，偶尔需要周转,27.826086956521745,88.9,6.3,1.6,1.0,24.737391304347828,1.7530434782608697,0.4452173913043479,0.2782608695652174,14.999999999999988,92.2608695652174,21.304347826086953,2283.4515050167224,7000-9000,2380,9000-11000,目前已在盈亏平衡点附近,51%-60%,70%以上,否,正常运营，无异常,京东的&nbsp;110%-120%,7000-9000,是_淡季3月、10月、12月或者线路出现异常、风控收紧,波动较大（10%-30%）,数据、风控、结算、打折、线路,"1、减少降低结算波动频率
2、建议结算是否可以调整为半包坐席费+cps",中型,极度敏感,False
65458000,2026/3/9 17:38,2026/3/9 17:46,422,石家庄,30人以下,3&nbsp;年以上,17.0,T+90,否，资金周转正常,17.7,85.0,8.0,10.0,1.0,15.045,1.416,1.77,0.177,-4.117647059,11.5,3.170588235,4200.0,7000-9000,2380,11000-15000,目前已在盈亏平衡点附近,71%-80%,70%以上,是,正常运营，无异常,京东的&nbsp;120%&nbsp;以上,5000-7000,否,稳定（波动&lt;10%）,佣金结算偏低,包坐席模式 KPI考核,小型,极度敏感,False
